entity,scenario,method,avg,median,pstd
Zombie,scenario1,mamdani,50.813914218169536,50.0,1.9936745289116737
Zombie,scenario1,sugeno,50.857142857142854,50.0,2.0995626366712954
Zombie,scenario1,tsukamoto,52.19047619047619,50.0,5.3655489603822035
Skeleton,scenario1,mamdani,50.813914218169536,50.0,1.9936745289116737
Skeleton,scenario1,sugeno,50.857142857142854,50.0,2.0995626366712954
Skeleton,scenario1,tsukamoto,52.19047619047619,50.0,5.3655489603822035
Enderman,scenario1,mamdani,73.91252955082743,84.44444444444444,14.984908834128744
Enderman,scenario1,sugeno,80.0,80.0,0.0
Enderman,scenario1,tsukamoto,98.22222222222223,100.0,3.975231959999623
Boss,scenario1,mamdani,73.91252955082743,84.44444444444444,14.984908834128744
Boss,scenario1,sugeno,80.0,80.0,0.0
Boss,scenario1,tsukamoto,98.22222222222223,100.0,3.975231959999623
